id,title,company,skills,location,salary_min,salary_max,type,age_preference,experience_required,education_required,description,category,source,job_url,scraped_at
scraped_vieclam24h_00000,Kế Toán,,,Hồ Chí Minh,25000000,25000000,full-time,any,0,high,Kế Toán Trưởng - Lương 20-25Tr - Đi Làm Ngay,accounting,Vieclam24h,https://vieclam24h.vn/ke-toan/ke-toan-truong-luong-20-25tr-di-lam-ngay-c17p73id200804197.html,2026-04-14T18:49:44.408533
scraped_vieclam24h_00001,Nhân Viên Kế Toán Tổng Hợp (Thu Nhập 14 -,,,Hồ Chí Minh,15000000,15000000,full-time,any,0,high,Nhân Viên Kế Toán Tổng Hợp (Thu Nhập 14 - 15 Triệu) _Nữ,accounting,Vieclam24h,https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-tong-hop-thu-nhap-14-15-trieu-nu-c17p122id200803885.html,2026-04-14T18:49:44.408609
scraped_vieclam24h_00002,Miền,,,Hồ Chí Minh,0,0,full-time,any,0,high,"Miền Trung - Quản Lý Kinh Doanh Khu Vực (Nhánh Ngành Hàng Mới: Gym, Nội Thất, Nha Khoa,....)",other,Vieclam24h,https://vieclam24h.vn/ban-hang-kinh-doanh/mien-trung-quan-ly-kinh-doanh-khu-vuc-nhanh-nganh-hang-moi-gym-noi-that-nha-khoa-c13p108id200800856.html,2026-04-14T18:49:44.408662
scraped_vieclam24h_00003,Công Ty Tài Chính,,,Hồ Chí Minh,0,0,full-time,any,0,high,Công Ty Tài Chính Trách Nhiệm Hữu Hạn Một Thành Viên Home Credit Việt Nam,accounting,Vieclam24h,https://vieclam24h.vn/ban-hang-kinh-doanh/mien-trung-quan-ly-kinh-doanh-khu-vuc-nhanh-nganh-hang-moi-gym-noi-that-nha-khoa-c13p108id200800856.html,2026-04-14T18:49:44.408713
scraped_vieclam24h_00004,Công Ty TNHH TM Xnk Phú Lộc,,,Hồ Chí Minh,0,0,full-time,any,0,high,Công Ty TNHH TM Xnk Phú Lộc Trường,other,Vieclam24h,https://vieclam24h.vn/ke-toan/ke-toan-tong-hop-quan-binh-tan-nhan-viec-ngay-c17p122id200795692.html,2026-04-14T18:49:44.408759
scraped_vieclam24h_00005,Công Ty TNHH Vietnam Concentrix Services,,,Hồ Chí Minh,0,0,full-time,any,0,high,Công Ty TNHH Vietnam Concentrix Services,service,Vieclam24h,https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/nhan-vien-admin-van-phong-di-lam-ngay-quan-11-thu-duc-c18p122id200800931.html,2026-04-14T18:49:44.408808
scraped_vieclam24h_00006,Admin Văn Phòng Đi Làm Ngay Thu Nhập,,,Hồ Chí Minh,12000000,12000000,full-time,any,0,high,Admin Văn Phòng Đi Làm Ngay Thu Nhập Trên 12 Triệu,other,Vieclam24h,https://vieclam24h.vn/cham-soc-khach-hang/admin-van-phong-di-lam-ngay-thu-nhap-tren-12-trieu-c30p122id200803167.html,2026-04-14T18:49:44.408853
scraped_vieclam24h_00008,Kế Toán Tổng Hợp - Thu Nhập,,,Hồ Chí Minh,0,0,full-time,any,0,high,Kế Toán Tổng Hợp - Thu Nhập Trên 12M,accounting,Vieclam24h,https://vieclam24h.vn/ke-toan/ke-toan-tong-hop-thu-nhap-tren-12m-c17p122id200793516.html,2026-04-14T18:49:44.408988
scraped_vieclam24h_00009,Nhân Viên Kinh Doanh Chăm Sóc Khách Hàng - Bảo Hiểm Fwd (Có Hỗ,,,Hồ Chí Minh,0,0,full-time,any,0,high,Nhân Viên Kinh Doanh Chăm Sóc Khách Hàng - Bảo Hiểm Fwd (Có Hỗ Trợ Data),sales,Vieclam24h,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-cham-soc-khach-hang-bao-hiem-fwd-co-ho-tro-data-c13p122id200801854.html,2026-04-14T18:49:44.409053
scraped_vieclam24h_00010,Nhân Viên Kinh Doanh Bất Động Sản Lương Cơ Bản Upto,,,Hồ Chí Minh,30000000,30000000,full-time,any,0,high,Nhân Viên Kinh Doanh Bất Động Sản Lương Cơ Bản Upto 30 Triệu - Hỗ Trợ 100% Data Marketing Net,sales,Vieclam24h,https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/nhan-vien-kinh-doanh-bat-dong-san-luong-co-ban-upto-30-trieu-ho-tro-100-data-marketing-net-c18p104id200800719.html,2026-04-14T18:49:44.409111
scraped_vieclam24h_00011,Công Ty Cổ Phần Đầu Tư Và Phát,,,Hồ Chí Minh,0,0,full-time,any,0,high,Công Ty Cổ Phần Đầu Tư Và Phát Triển Sài Gòn Realty,other,Vieclam24h,https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/nhan-vien-kinh-doanh-bat-dong-san-luong-co-ban-upto-30-trieu-ho-tro-100-data-marketing-net-c18p104id200800719.html,2026-04-14T18:49:44.409162
scraped_vieclam24h_00013,Nhân Viên Nhắc Phí (Thu Nhập 12 -,,,Hồ Chí Minh,30000000,30000000,full-time,any,0,high,Nhân Viên Nhắc Phí (Thu Nhập 12 - 30 Triệu),other,Vieclam24h,https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/nhan-vien-nhac-phi-thu-nhap-12-30-trieu-c18p122id200796587.html,2026-04-14T18:49:44.409250
